province,district,subdistrict,sector,organisationunitname,fosaid,type,openmrs.db.name
North,Rulindo District,Rutongo Sub District,BUREGA,Muyanza CS,277,Health Center,a0277
North,Rulindo District,Rutongo Sub District,Murambi,Murambi CS,276,Health Center,a0276
North,Rulindo District,Rutongo Sub District,MASORO,Masoro CS,275,Health Center,a0275
North,Rulindo District,Rutongo Sub District,NTARABANA,Kiyanza CS,274,Health Center,a0274
North,Rulindo District,Kinihira Sub District,KINIHIRA (Rulindo),Kinihira (rulindo) CS,273,Health Center,a0273
North,Rulindo District,Rutongo Sub District,NTARABANA,Kajevuba CS,272,Health Center,a0272
North,Rulindo District,Kinihira Sub District,BUYOGA,Buyoga CS,271,Health Center,a0271
West,Nyamasheke District,Kibogora Sub District,Cyato,Yove CS,270,Health Center,a0270
West,Nyamasheke District,Kibogora Sub District,Kanjongo,Ruheru (kanjongo Nyamasheke) CS,269,Health Center,a0269
West,Nyamasheke District,Kibogora Sub District,Rangiro,Rangiro CS,268,Health Center,a0268
West,Nyamasheke District,Kibogora Sub District,Kagano,Nyamasheke CS,267,Health Center,a0267
West,Nyamasheke District,Bushenge Sub District,Karengera,Mwezi CS,266,Health Center,a0266
West,Nyamasheke District,Bushenge Sub District,Nyabitekeri,Muyange CS,265,Health Center,a0265
West,Nyamasheke District,Bushenge Sub District,Nyabitekeri,Mukoma (nyamasheke) CS,264,Health Center,a0264
West,Nyamasheke District,Bushenge Sub District,Shangi,Mugera CS,263,Health Center,a0263
West,Nyamasheke District,Kibogora Sub District,Kanjongo,Kibogora DH,262,District Hospital,a0262
West,Nyamasheke District,Kibogora Sub District,Kanjongo,Kibogora CS,261,Health Center,a0261
West,Nyamasheke District,Kibogora Sub District,Gihombo,Kibingo (nyamasheke) CS,260,Health Center,a0260
West,Nyamasheke District,Kibogora Sub District,Kirimbi,Karengera CS,259,Health Center,a0259
West,Nyamasheke District,Kibogora Sub District,Karambi,Karambi (nyamasheke) CS,258,Health Center,a0258
West,Nyamasheke District,Bushenge Sub District,Ruharambuga,Kamonyi (ruharambuga) CS,257,Health Center,a0257
West,Nyamasheke District,Kibogora Sub District,Macuba,Hanika (nyamasheke) CS,256,Health Center,a0256
West,Nyamasheke District,Bushenge Sub District,Bushekeri,Gisakura CS,255,Health Center,a0255
West,Nyamasheke District,Kibogora Sub District,Macuba,Gatare (macuba) CS,254,Health Center,a0254
West,Nyamasheke District,Bushenge Sub District,Bushenge,Bushenge PH,253,Provincial Hospital,a0253
West,Nyamasheke District,Bushenge Sub District,Bushenge,Bushenge CS,252,Health Center,a0252
West,Rusizi District,Gihundwe Sub District,Mururu,Rusizi CS,251,Health Center,a0251
West,Rusizi District,Mibilizi Sub District,Butare,Nyabitimbo CS,250,Health Center,a0250
West,Rusizi District,Mibilizi Sub District,Nkungu,Nkungu CS,249,Health Center,a0249
West,Rusizi District,Gihundwe Sub District,Nkombo,Nkombo CS,248,Health Center,a0248
West,Rusizi District,Gihundwe Sub District,Nkanka,Nkanka CS,247,Health Center,a0247
West,Rusizi District,Mibilizi Sub District,Rwimbogo,Mushaka CS,246,Health Center,a0246
West,Rusizi District,Mibilizi Sub District,Gashonga,Mibilizi DH,245,District Hospital,a0245
West,Rusizi District,Mibilizi Sub District,Gashonga,Mibilizi CS,244,Health Center,a0244
West,Rusizi District,Mibilizi Sub District,Gitambi,Mashesha CS,243,Health Center,a0243
West,Rusizi District,Mibilizi Sub District,Bugarama,Islamic (Bugarama) CS,242,Health Center,a0242
West,Rusizi District,Gihundwe Sub District,Kamembe,Gihundwe DH,241,District Hospital,a0241
West,Rusizi District,Gihundwe Sub District,Kamembe,Gihundwe CS,240,Health Center,a0240
West,Rusizi District,Gihundwe Sub District,Bweyeye,Bweyeye CS,238,Health Center,a0238
West,Rusizi District,Mibilizi Sub District,Muganza (Rusizi District),Bugarama (rusizi) CS,237,Health Center,a0237
West,Ngororero District,Muhororo Sub District,NGORORERO,Rususa CS,236,Health Center,a0236
West,Ngororero District,Muhororo Sub District,GATUMBA,Rubona (ngororera) CS,235,Health Center,a0235
West,Ngororero District,Kabaya Sub District,MUHANDA,Rubaya (ngororera) CS,234,Health Center,a0234
West,Ngororero District,Kabaya Sub District,KAVUMU,Ramba CS,233,Health Center,a0233
West,Ngororero District,Muhororo Sub District,NYANGE,Nyange B CS,232,Health Center,a0232
West,Ngororero District,Muhororo Sub District,NGORORERO,Nyange A CS,231,Health Center,a0231
West,Ngororero District,Muhororo Sub District,NDARO,Ntobwe  CS,230,Health Center,a0230
West,Ngororero District,Muhororo Sub District,MUHORORO,Ntaganzwa CS,229,Health Center,a0229
West,Ngororero District,Kabaya Sub District,HINDIRO,Muramba CS,228,Health Center,a0228
West,Ngororero District,Muhororo Sub District,MUHORORO,Muhororo DH,227,District Hospital,a0227
West,Ngororero District,Muhororo Sub District,GATUMBA,Muhororo CS,226,Health Center,a0226
West,Ngororero District,Kabaya Sub District,KABAYA,Kabaya DH,225,District Hospital,a0225
West,Ngororero District,Kabaya Sub District,KABAYA,Kabaya CS,224,Health Center,a0224
West,Ngororero District,Muhororo Sub District,BWIRA,Gashubi CS,223,Health Center,a0223
West,Nyabihu District,Shyira Sub District,Shyira,Shyira DH,222,District Hospital,a0222
West,Nyabihu District,Shyira Sub District,Shyira,Shyira CS,221,Health Center,a0221
West,Nyabihu District,Shyira Sub District,Mukamira,Rwankeri CS,220,Health Center,a0220
West,Nyabihu District,Shyira Sub District,Rurembo,Rurembo CS,219,Health Center,a0219
West,Nyabihu District,Shyira Sub District,Rambura,Rambura CS,218,Health Center,a0218
West,Nyabihu District,Shyira Sub District,Rugera,Nyakiliba CS,217,Health Center,a0217
West,Nyabihu District,Shyira Sub District,Rugera,Nyakigezi CS,216,Health Center,a0216
West,Nyabihu District,Shyira Sub District,Karago,Mwiyanike CS,215,Health Center,a0215
West,Nyabihu District,Shyira Sub District,Bigogwe,Kora CS,214,Health Center,a0214
West,Nyabihu District,Shyira Sub District,Jenda,Kareba CS,213,Health Center,a0213
West,Nyabihu District,Shyira Sub District,Kabatwa,Kabatwa CS,212,Health Center,a0212
West,Nyabihu District,Shyira Sub District,Jomba,Jomba CS,210,Health Center,a0210
West,Nyabihu District,Shyira Sub District,Muringa,Gakamba CS,209,Health Center,a0209
West,Nyabihu District,Shyira Sub District,Rambura,Birembo CS,208,Health Center,a0208
West,Nyabihu District,Shyira Sub District,Bigogwe,Bigogwe CS,207,Health Center,a0207
West,Nyabihu District,Shyira Sub District,Bigogwe,Arusha CS,206,Health Center,a0206
West,Rubavu District,Gisenyi Sub District,Gisenyi,Prison Gisenyi Pris,205,Prison Clinic,a0205
West,Rubavu District,Gisenyi Sub District,Nyundo,Nyundo (rubavu) CS,204,Health Center,a0204
West,Rubavu District,Gisenyi Sub District,Rubavu,Murara CS,203,Health Center,a0203
West,Rubavu District,Gisenyi Sub District,Mudende,Mudende CS,202,Health Center,a0202
West,Rubavu District,Gisenyi Sub District,Nyamyumba,Kigufi CS,201,Health Center,a0201
West,Rubavu District,Gisenyi Sub District,Kanama,Karambo (rubavu) CS,200,Health Center,a0200
West,Rubavu District,Gisenyi Sub District,Gisenyi,Gisenyi DH,199,District Hospital,a0199
West,Rubavu District,Gisenyi Sub District,Gisenyi,Gisenyi CS,198,Health Center,a0198
West,Rubavu District,Gisenyi Sub District,Gisenyi,Gacuba Ii CS,197,Health Center,a0197
West,Rubavu District,Gisenyi Sub District,Rubavu,Byahi (rubavu) CS,196,Health Center,a0196
West,Rubavu District,Gisenyi Sub District,Busasamana (Rubavu District),Busasamana CS,195,Health Center,a0195
West,Rutsiro District,Murunda Sub District,Manihira,Rutsiro CS,194,Health Center,a0194
West,Rutsiro District,Murunda Sub District,Nyabirasi,Nyabirasi CS,193,Health Center,a0193
West,Rutsiro District,Murunda Sub District,Mushubati,Mushubati CS,192,Health Center,a0192
West,Rutsiro District,Murunda Sub District,Musasa,Musasa CS,191,Health Center,a0191
West,Rutsiro District,Murunda Sub District,Murunda,Murunda DH,190,District Hospital,a0190
West,Rutsiro District,Murunda Sub District,Murunda,Murunda CS,189,Health Center,a0189
West,Rutsiro District,Murunda Sub District,Mukura (Rutsiro  District),Mukura (Rutsiro) CS,188,Health Center,a0188
West,Rutsiro District,Murunda Sub District,Kivumu,Kivumu (rutsiro) CS,187,Health Center,a0187
West,Rutsiro District,Murunda Sub District,Boneza,Kinunu CS,186,Health Center,a0186
West,Rutsiro District,Murunda Sub District,Kigeyo,Kinihira (rutsiro) CS,185,Health Center,a0185
West,Rutsiro District,Murunda Sub District,Gihango,Kibingo (rutsiro) CS,184,Health Center,a0184
West,Rutsiro District,Murunda Sub District,Ruhango (Rutsiro  District),Kayove CS,183,Health Center,a0183
West,Rutsiro District,Murunda Sub District,Murunda,Karumbi CS,182,Health Center,a0182
West,Rutsiro District,Murunda Sub District,Rusebeya,Kabona CS,181,Health Center,a0181
West,Rutsiro District,Murunda Sub District,Kigeyo,Cyimbili CS,180,Health Center,a0180
West,Rutsiro District,Murunda Sub District,Gihango,Crete Congo Nil CS,179,Health Center,a0179
West,Rutsiro District,Murunda Sub District,Ruhango (Rutsiro  District),Bitenga  CS,178,Health Center,a0178
West,Rutsiro District,Murunda Sub District,Mushonyi,Biruyi CS,177,Health Center,a0177
West,Karongi District,Kibuye Sub District,Rugabano,Rugabano CS,176,Health Center,a0176
West,Karongi District,Kibuye Sub District,Rugabano,Rufungo CS,175,Health Center,a0175
West,Karongi District,Kibuye Sub District,Rubengera,Rubengera CS,174,Health Center,a0174
West,Karongi District,Kirinda Sub District,Gashari,Mwendo (karongi) CS,173,Health Center,a0173
West,Karongi District,Kibuye Sub District,Rwankuba,Musango CS,172,Health Center,a0172
West,Karongi District,Kirinda Sub District,Murundi,Munzanga CS,171,Health Center,a0171
West,Karongi District,Kibuye Sub District,Mutuntu,Mukungu CS,170,Health Center,a0170
West,Karongi District,Mugonero Sub District,Gishyita,Mugonero DH,169,District Hospital,a0169
West,Karongi District,Mugonero Sub District,Gishyita,Mugonero CS,168,Health Center,a0168
West,Karongi District,Mugonero Sub District,Mubuga,Mubuga CS,167,Health Center,a0167
West,Karongi District,Mugonero Sub District,Gishyita,Mpembe CS,166,Health Center,a0166
West,Karongi District,Kirinda Sub District,Murambi,Kirinda DH,165,District Hospital,a0165
West,Karongi District,Kirinda Sub District,Murambi,Kirinda CS,164,Health Center,a0164
West,Karongi District,Kibuye Sub District,Gitesi,Kirambo (gitesi) CS,163,Health Center,a0163
West,Karongi District,Kibuye Sub District,Bwishyura,Kibuye RH,162,Referral Hospital,a0162
West,Karongi District,Kibuye Sub District,Bwishyura,Kibuye CS,161,Health Center,a0161
West,Karongi District,Mugonero Sub District,Mubuga,Karora CS,160,Health Center,a0160
West,Karongi District,Kibuye Sub District,Rugabano,Karongi (gisunzu) Police CS,159,Health Center,a0159
West,Karongi District,Mugonero Sub District,Twumba,Gisovu CS,158,Health Center,a0158
West,Karongi District,Mugonero Sub District,Twumba,Gatare (twumba) CS,157,Health Center,a0157
West,Karongi District,Kibuye Sub District,Rubengera,Bubazi CS,156,Health Center,a0156
West,Karongi District,Kirinda Sub District,Gashari,Birambo CS,155,Health Center,a0155
West,Karongi District,Kirinda Sub District,Ruganda,Biguhu CS,154,Health Center,a0154
South,Kamonyi District,Remera Rukoma Sub District,Rukoma,Remera Rukoma DH,153,District Hospital,a0153
South,Kamonyi District,Remera Rukoma Sub District,Rukoma,Remera Rukoma CS,152,Health Center,a0152
South,Kamonyi District,Remera Rukoma Sub District,Nyarubaka,Nyagihamba CS,151,Health Center,a0151
South,Kamonyi District,Remera Rukoma Sub District,Musambira,Musambira CS,150,Health Center,a0150
South,Kamonyi District,Remera Rukoma Sub District,Mugina,Mugina CS,149,Health Center,a0149
South,Kamonyi District,Remera Rukoma Sub District,Rugarika,Kigese CS,148,Health Center,a0148
South,Kamonyi District,Remera Rukoma Sub District,Kayenzi,Kayenzi CS,147,Health Center,a0147
South,Kamonyi District,Remera Rukoma Sub District,Ngamba,Karangara CS,146,Health Center,a0146
South,Kamonyi District,Remera Rukoma Sub District,Gacurabwenge,Kamonyi (gacurabwenge) CS,145,Health Center,a0145
South,Kamonyi District,Remera Rukoma Sub District,Ngamba,Kabuga (ntamba Kamonyi) CS,144,Health Center,a0144
South,Kamonyi District,Remera Rukoma Sub District,Runda,Gihara CS,143,Health Center,a0143
South,Kamonyi District,Remera Rukoma Sub District,Mugina,Cyeru CS,142,Health Center,a0142
South,Muhanga District,Kabgayi Sub District,Shyogwe,Shyogwe CS,141,Health Center,a0141
South,Muhanga District,Kabgayi Sub District,Cyeza,Rutobwe CS,140,Health Center,a0140
South,Muhanga District,Kabgayi Sub District,Shyogwe,Prison Gitarama Pris,139,Prison Clinic,a0139
South,Muhanga District,Kabgayi Sub District,Nyarusange,Nyarusange (muhanga) CS,138,Health Center,a0138
South,Muhanga District,Kabgayi Sub District,Nyabinoni,Nyabinoni CS,137,Health Center,a0137
South,Muhanga District,Kabgayi Sub District,Kiyumba,Nyabikenke CS,136,Health Center,a0136
South,Muhanga District,Kabgayi Sub District,Mushishiro,Mushishiro CS,135,Health Center,a0135
South,Muhanga District,Kabgayi Sub District,Cyeza,Kivumu (muhanga) CS,134,Health Center,a0134
South,Muhanga District,Kabgayi Sub District,Nyamabuye,Kabgayi DH,133,District Hospital,a0133
South,Muhanga District,Kabgayi Sub District,Nyamabuye,Kabgayi CS,132,Health Center,a0132
South,Muhanga District,Kabgayi Sub District,Kibangu,Gitega (kibangu) CS,131,Health Center,a0131
South,Muhanga District,Kabgayi Sub District,Shyogwe,Gitarama CS,130,Health Center,a0130
South,Muhanga District,Kabgayi Sub District,Rugendabari,Gasovu CS,129,Health Center,a0129
South,Muhanga District,Kabgayi Sub District,Kabacuzi,Buramba CS,128,Health Center,a0128
South,Muhanga District,Kabgayi Sub District,Rongi,Gasagara (ex-birehe) CS,127,Health Center,a0127
South,Ruhango District,Ruhango Sub District,Ruhango,Ruhango CS,126,Health Center,a0126
South,Ruhango District,Ruhango Sub District,Ntongwe,Nyarurama CS,125,Health Center,a0125
South,Ruhango District,Gitwe Sub District,Kinihira (Ruhango),Muyunzwe CS,124,Health Center,a0124
South,Ruhango District,Gitwe Sub District,Kinihira (Ruhango),Muremure CS,123,Health Center,a0123
South,Ruhango District,Ruhango Sub District,Kinazi (Ruhango  District),Mukoma (ruhango) CS,122,Health Center,a0122
South,Ruhango District,Ruhango Sub District,Mbuye,Mbuye CS,121,Health Center,a0121
South,Ruhango District,Ruhango Sub District,Mbuye,Kizibere CS,120,Health Center,a0120
South,Ruhango District,Ruhango Sub District,Kinazi (Ruhango  District),Kinazi CS,119,Health Center,a0119
South,Ruhango District,Ruhango Sub District,Ruhango,Kigoma CS,118,Health Center,a0118
South,Ruhango District,Gitwe Sub District,Kabagali,Karambi (ruhango) CS,117,Health Center,a0117
South,Ruhango District,Gitwe Sub District,Bweramana,Gitwe DH,116,District Hospital,a0116
South,Ruhango District,Gitwe Sub District,Bweramana,Gitwe CS,115,Health Center,a0115
South,Ruhango District,Gitwe Sub District,Mwendo,Gishweru CS,114,Health Center,a0114
South,Ruhango District,Gitwe Sub District,Byimana,Byimana CS,113,Health Center,a0113
South,Nyamagabe District,Kaduha Sub District,Gatare,Rugege CS,112,Health Center,a0112
South,Nyamagabe District,Kaduha Sub District,Nkomane,Nyarwungo CS,111,Health Center,a0111
South,Nyamagabe District,Kigeme Sub District,Kamegeri,Nyarusiza CS,110,Health Center,a0110
South,Nyamagabe District,Kigeme Sub District,Gasaka,Nyamagabe CS,109,Health Center,a0109
South,Nyamagabe District,Kigeme Sub District,Mbazi (Nyamagabe District),Ngara CS,108,Health Center,a0108
South,Nyamagabe District,Kaduha Sub District,Mushubi,Mushubi CS,107,Health Center,a0107
South,Nyamagabe District,Kaduha Sub District,Musebeya,Musebeya CS,106,Health Center,a0106
South,Nyamagabe District,Kigeme Sub District,Tare,Mbuga CS,105,Health Center,a0105
South,Nyamagabe District,Kigeme Sub District,Kitabi,Kitabi CS,104,Health Center,a0104
South,Nyamagabe District,Kigeme Sub District,Gasaka,Kigeme DH,103,District Hospital,a0103
South,Nyamagabe District,Kigeme Sub District,Gasaka,Kigeme CS,102,Health Center,a0102
South,Nyamagabe District,Kaduha Sub District,Kaduha,Kaduha DH,101,District Hospital,a0101
South,Nyamagabe District,Kaduha Sub District,Kaduha,Kaduha CS,100,Health Center,a0100
South,Nyamagabe District,Kaduha Sub District,Musange,Jenda (nyamagabe) CS,99,Health Center,a0099
South,Nyamagabe District,Kigeme Sub District,Cyanika,Cyanika (nyamagabe) CS,98,Health Center,a0098
South,Huye District,Kabutare Sub District,Huye,Sovu CS,97,Health Center,a0097
South,Huye District,Kabutare Sub District,Simbi,Simbi CS,96,Health Center,a0096
South,Huye District,Kabutare Sub District,Rwaniro,Rwaniro CS,95,Health Center,a0095
South,Huye District,Kabutare Sub District,Rusatira,Rusatira-kinazi CS,94,Health Center,a0094
South,Huye District,Kabutare Sub District,Ruhashya,Ruhashya CS,93,Health Center,a0093
South,Huye District,Kabutare Sub District,Rusatira,Rubona (huye) CS,92,Health Center,a0092
South,Huye District,Kabutare Sub District,TUMBA,Rango CS,91,Health Center,a0091
South,Huye District,Kabutare Sub District,Ngoma (Huye District),Prison Karubanda Pris (Butare Huye),90,Prison Clinic,a0090
South,Huye District,Kabutare Sub District,Mbazi,Mbazi CS,89,Health Center,a0089
South,Huye District,Kabutare Sub District,Ngoma (Huye District),Matyazo CS,88,Health Center,a0088
South,Huye District,Kabutare Sub District,Kigoma (Huye District),Kinyamakara CS,87,Health Center,a0087
South,Huye District,Kabutare Sub District,Karama (Huye),Karama (huye) CS,86,Health Center,a0086
South,Huye District,Kabutare Sub District,Ngoma (Huye District),Kabutare DH,85,District Hospital,a0085
South,Huye District,Kabutare Sub District,Ngoma (Huye District),Huye Police CS,84,Health Center,a0084
South,Huye District,Kabutare Sub District,Ngoma (Huye District),CUSP Butare CS,83,Health Center,a0083
South,Huye District,Kabutare Sub District,Ngoma (Huye District),Butare Chu Hnr (huye),82,Referral Hospital,a0082
South,Huye District,Kabutare Sub District,Gishamvu,Busoro-gishamvu CS,81,Health Center,a0081
South,Nyaruguru District,Munini Sub District,Ruramba,Ruramba CS,80,Health Center,a0080
South,Nyaruguru District,Munini Sub District,Busanze,Runyombyi CS,79,Health Center,a0079
South,Nyaruguru District,Munini Sub District,Ruheru,Ruheru CS,78,Health Center,a0078
South,Nyaruguru District,Munini Sub District,Nyagisozi (Nyaruguru District),Nyantanga CS,77,Health Center,a0077
South,Nyaruguru District,Munini Sub District,Mata,Nyamyumba CS,76,Health Center,a0076
South,Nyaruguru District,Munini Sub District,Nyabimata,Nyabimata CS,75,Health Center,a0075
South,Nyaruguru District,Munini Sub District,Munini,Munini DH,74,District Hospital,a0074
South,Nyaruguru District,Munini Sub District,Munini,Munini (nyaruguru) CS,73,Health Center,a0073
South,Nyaruguru District,Munini Sub District,Muganza (Nyaruguru District),Muganza CS,72,Health Center,a0072
South,Nyaruguru District,Munini Sub District,Nyagisozi (Nyaruguru District),Maraba (nyaruguru) CS,71,Health Center,a0071
South,Nyaruguru District,Munini Sub District,Kibeho,Kibeho CS,70,Health Center,a0070
South,Nyaruguru District,Munini Sub District,Rusenge,Kabilizi CS,69,Health Center,a0069
South,Nyaruguru District,Munini Sub District,Cyahinda,Cyahinda CS,68,Health Center,a0068
South,Nyaruguru District,Munini Sub District,Cyahinda,Coko CS,67,Health Center,a0067
South,Gisagara District,Gakoma Sub District,Save,Save CS,66,Health Center,a0066
South,Gisagara District,Gakoma Sub District,Musha,Musha (gisagara) CS,65,Health Center,a0065
South,Gisagara District,Kibilizi Sub District,Mugombwa,Mugombwa CS,64,Health Center,a0064
South,Gisagara District,Kibilizi Sub District,Muganza,Kirarambogo CS,63,Health Center,a0063
South,Gisagara District,Kibilizi Sub District,Nyanza,Kigembe CS,62,Health Center,a0062
South,Gisagara District,Kibilizi Sub District,Kibirizi,Kibilizi DH,61,District Hospital,a0061
South,Gisagara District,Kibilizi Sub District,Kibirizi,Kibilizi (gisagara) CS,60,Health Center,a0060
South,Gisagara District,Kibilizi Sub District,Mukindo,Kibayi CS,59,Health Center,a0059
South,Gisagara District,Kibilizi Sub District,Kansi,Kansi CS,58,Health Center,a0058
South,Gisagara District,Kibilizi Sub District,Ndora,Gisagara CS,57,Health Center,a0057
South,Gisagara District,Kibilizi Sub District,Kansi,Gikore CS,56,Health Center,a0056
South,Gisagara District,Gakoma Sub District,Gikonko,Gikonko (Gisagara) CS,55,Health Center,a0055
South,Gisagara District,Gakoma Sub District,Mamba,Gakoma DH,54,District Hospital,a0054
South,Gisagara District,Gakoma Sub District,Mamba,Gakoma CS,53,Health Center,a0053
South,Nyanza District,Nyanza Sub District,Ntyazo,Ruyenzi CS,52,Health Center,a0052
South,Nyanza District,Nyanza Sub District,Mukingo,Prison Nyanza Pris (nyanza),51,Prison Clinic,a0051
South,Nyanza District,Nyanza Sub District,Mukingo,Prison Mpanga Pris (nyanza),50,Prison Clinic,a0050
South,Nyanza District,Nyanza Sub District,Busasamana,Nyanza DH,49,District Hospital,a0049
South,Nyanza District,Nyanza Sub District,Busasamana,Nyanza CS,48,Health Center,a0048
South,Nyanza District,Nyanza Sub District,Muyira,Nyamure CS,47,Health Center,a0047
South,Nyanza District,Nyanza Sub District,Muyira,Nyamiyaga (Nyanza) CS,46,Health Center,a0046
South,Nyanza District,Nyanza Sub District,Ntyazo,Ntyazo CS,45,Health Center,a0045
South,Nyanza District,Nyanza Sub District,Nyagisozi,Mweya CS,44,Health Center,a0044
South,Nyanza District,Nyanza Sub District,Cyabakamyi,Mucubira CS,43,Health Center,a0043
South,Nyanza District,Nyanza Sub District,Nyagisozi,Kirambi CS,42,Health Center,a0042
South,Nyanza District,Nyanza Sub District,Kibilizi,Kibilizi (nyanza) CS,41,Health Center,a0041
South,Nyanza District,Nyanza Sub District,Busasamana,Hanika I (NYANZA) CS,40,Health Center,a0040
South,Nyanza District,Nyanza Sub District,Mukingo,Gatagara (Nyanza) CS,39,Health Center,a0039
South,Nyanza District,Nyanza Sub District,Rwabicuma,Cyaratsi CS,38,Health Center,a0038
South,Nyanza District,Nyanza Sub District,Busoro,Busoro CS,37,Health Center,a0037
Kigali City,Kicukiro District,Masaka Sub District,Masaka,Masaka CS,36,Health Center,a0036
Kigali City,Kicukiro District,Masaka Sub District,Niboye,Kicukiro CS,35,Health Center,a0035
Kigali City,Kicukiro District,Masaka Sub District,Nyarugunga,Rwanda Military Hospital,34,Referral Hospital,a0034
Kigali City,Kicukiro District,Masaka Sub District,Masaka,Kabuga (kicukiro) CS,33,Health Center,a0033
Kigali City,Kicukiro District,Masaka Sub District,Gikondo,Gikondo (0103) CS,32,Health Center,a0032
Kigali City,Kicukiro District,Masaka Sub District,Gahanga,Gahanga CS,31,Health Center,a0031
Kigali City,Kicukiro District,Masaka Sub District,Kanombe,Busanza CS,30,Health Center,a0030
Kigali City,Kicukiro District,Masaka Sub District,Kicukiro,Bethsaida  CS,29,Health Center,a0029
Kigali City,Gasabo District,Kibagabaga Sub District,Ndera,Rubungo CS,28,Health Center,a0028
Kigali City,Gasabo District,Kibagabaga Sub District,Kimironko,Prison Kimironko(Remera Pris),27,Prison Clinic,a0027
Kigali City,Gasabo District,Kibagabaga Sub District,Jabana,Nyacyonga CS,26,Health Center,a0026
Kigali City,Gasabo District,Kibagabaga Sub District,Kinyinya,Kinyinya CS,25,Health Center,a0025
Kigali City,Gasabo District,Kibagabaga Sub District,Kacyiru,King Faisal Hospital HNR,24,Referral Hospital,a0024
Kigali City,Gasabo District,Kibagabaga Sub District,Remera,Remera (Gasabo) CS,23,Health Center,a0023
Kigali City,Gasabo District,Kibagabaga Sub District,Kimironko,Kibagabaga DH,22,District Hospital,a0022
Kigali City,Gasabo District,Kibagabaga Sub District,Rutunga,Kayanga CS,21,Health Center,a0021
Kigali City,Gasabo District,Kibagabaga Sub District,Kinyinya,Kagugu CS,20,Health Center,a0020
Kigali City,Gasabo District,Kibagabaga Sub District,Kacyiru,Kacyiru DH,19,District Hospital,a0019
Kigali City,Gasabo District,Kibagabaga Sub District,Kacyiru,Kacyiru CS,18,Health Center,a0018
Kigali City,Gasabo District,Kibagabaga Sub District,Jabana,Kabuye CS,17,Health Center,a0017
Kigali City,Gasabo District,Kibagabaga Sub District,Jali,Jali CS,16,Health Center,a0016
Kigali City,Gasabo District,Kibagabaga Sub District,Ndera,Caraes Ndera Hnr,14,Referral Hospital,a0014
Kigali City,Gasabo District,Kibagabaga Sub District,Remera,Avega Kigali CS,13,Health Center,a0013
Kigali City,Nyarugenge District,Muhima Sub District,Nyamirambo,Rugarama (nyarugenge) CS,11,Health Center,a0011
Kigali City,Nyarugenge District,Muhima Sub District,Nyarugenge,PCK(Gitega Pris),10,Prison Clinic,a0010
Kigali City,Nyarugenge District,Muhima Sub District,Kigali,Mwendo (nyarugenge) CS,9,Health Center,a0009
Kigali City,Nyarugenge District,Muhima Sub District,Muhima,Muhima DH,8,District Hospital,a0008
Kigali City,Nyarugenge District,Muhima Sub District,Muhima,Muhima CS,7,Health Center,a0007
Kigali City,Nyarugenge District,Muhima Sub District,Nyakabanda,Kabusunzu CS,6,Health Center,a0006
Kigali City,Nyarugenge District,Muhima Sub District,Nyarugenge,Gitega (Nyarugenge) CS,5,Health Center,a0005
Kigali City,Nyarugenge District,Muhima Sub District,Kimisagara,Cor-unum CS,4,Health Center,a0004
Kigali City,Nyarugenge District,Muhima Sub District,Nyarugenge,CHK(CHUK) HNR,3,Referral Hospital,a0003
Kigali City,Nyarugenge District,Muhima Sub District,Mageragere,Butamwa CS,2,Health Center,a0002
Kigali City,Nyarugenge District,Muhima Sub District,Nyarugenge,Biryogo CS,1,Health Center,a0001
